"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","test_new_tab[chromium]","","Fri Jan 02 23:45:20 UTC 2026","passed","Fri Jan 02 23:45:20 UTC 2026","","test_built-in_locators5","",""
"","292","test_login_success[chromium-user-user]","PageObjectByAntonZimaev.tests","Fri Jan 02 23:45:11 UTC 2026","passed","Fri Jan 02 23:45:12 UTC 2026","","test_login","",""
"","179","test_upload_file[chromium]","","Fri Jan 02 23:45:18 UTC 2026","passed","Fri Jan 02 23:45:18 UTC 2026","TestUploadFile","test_built-in_locators5","",""
"","221","test_drag_and_drop[chromium]","","Fri Jan 02 23:45:14 UTC 2026","passed","Fri Jan 02 23:45:14 UTC 2026","","test_built-in_locators5","",""
"","149","test_inner_text_content[chromium]","","Fri Jan 02 23:45:19 UTC 2026","passed","Fri Jan 02 23:45:20 UTC 2026","","test_built-in_locators5","",""
"","145","test_built_in_locators[chromium]","","Fri Jan 02 23:45:12 UTC 2026","passed","Fri Jan 02 23:45:12 UTC 2026","","test_built-in_locators5","",""
"","5393","test_intercepted[chromium]","","Fri Jan 02 23:45:36 UTC 2026","skipped","Fri Jan 02 23:45:41 UTC 2026","","test_request_monitoring6","",""
"","1511","test_mynetwork[chromium]","","Fri Jan 02 23:45:32 UTC 2026","passed","Fri Jan 02 23:45:34 UTC 2026","","test_request_monitoring6","",""
"","295","Авторизация с корректными учетными данными","PageObjectByAntonZimaev.tests","Fri Jan 02 23:45:12 UTC 2026","passed","Fri Jan 02 23:45:12 UTC 2026","","test_login_allure","",""
"","133","test_locator_and[chromium]","","Fri Jan 02 23:45:13 UTC 2026","passed","Fri Jan 02 23:45:13 UTC 2026","","test_built-in_locators5","",""
"","118","test_upload_file3[chromium]","","Fri Jan 02 23:45:18 UTC 2026","passed","Fri Jan 02 23:45:18 UTC 2026","TestUploadFile","test_built-in_locators5","",""
"","6327","test_expect[chromium]","","Fri Jan 02 23:45:20 UTC 2026","passed","Fri Jan 02 23:45:27 UTC 2026","","test_expect","",""
"","1159","test_replace_from_myhar[chromium]","","Fri Jan 02 23:45:42 UTC 2026","passed","Fri Jan 02 23:45:43 UTC 2026","","test_request_monitoring6","",""
