"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Описание теста","3470","test_listen_network[chromium]","","2026-01-03","passed","2026-01-03","","test_request_monitoring6","",""
"","1067","Авторизация с корректными учетными данными","PageObjectByAntonZimaev.tests","2026-01-03","passed","2026-01-03","","test_login_allure","",""
"","4264","test_mynetwork2[chromium]","","2026-01-03","passed","2026-01-03","","test_request_monitoring6","",""
"","582","test_select[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","785","test_screenshots[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","1491","test_mock_tags[chromium]","","2026-01-03","passed","2026-01-03","","test_request_monitoring6","",""
"","653","test_or[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","3693","test_dialogs[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","0","test_network[chromium]","","2026-01-03","skipped","2026-01-03","","test_request_monitoring6","",""
"","0","test_replace_from_har[chromium]","","2026-01-03","skipped","2026-01-03","","test_request_monitoring6","",""
"","756","test_many_checkboxes[chromium]","","2026-01-03","passed","2026-01-03","TestCheckboxes","test_built-in_locators5","",""
"","863","test_new_tab[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","324","test_add_user[chromium]","","2026-01-03","passed","2026-01-03","","test_request_monitoring6","",""
"","706","test_inner_text_content[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","547","test_chain[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","1040","test_login_failure[chromium]","PageObjectByAntonZimaev.tests","2026-01-03","passed","2026-01-03","","test_login","",""
"","462","test_locator_and[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","983","test_login_success[chromium-user-user]","PageObjectByAntonZimaev.tests","2026-01-03","passed","2026-01-03","","test_login","",""
"","6643","test_mynetwork[chromium]","","2026-01-03","passed","2026-01-03","","test_request_monitoring6","",""
"","851","test_inventory[chromium]","","2026-01-03","passed","2026-01-03","","test_request_monitoring6","",""
"","1079","test_many_checkboxes2[chromium]","","2026-01-03","passed","2026-01-03","TestCheckboxes","test_built-in_locators5","",""
"","415","test_upload_file3[chromium]","","2026-01-03","passed","2026-01-03","TestUploadFile","test_built-in_locators5","",""
"","1311","test_download[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","1029","test_built_in_locators[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","532","test_drag_and_drop[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","1184","test_login_success[chromium-admin-admin]","PageObjectByAntonZimaev.tests","2026-01-03","passed","2026-01-03","","test_login","",""
"","2368","test_filter[chromium]","","2026-01-03","passed","2026-01-03","","test_built-in_locators5","",""
"","428","test_select_multiple[chromium]","","2026-01-03","passed","2026-01-03","TestUploadFile","test_built-in_locators5","",""
"","3772","test_replace_from_myhar[chromium]","","2026-01-03","passed","2026-01-03","","test_request_monitoring6","",""
"","30012","test_intercepted[chromium]","","2026-01-03","skipped","2026-01-03","","test_request_monitoring6","",""
"","601","test_upload_file[chromium]","","2026-01-03","passed","2026-01-03","TestUploadFile","test_built-in_locators5","",""
"","534","Авторизация с недействительными учетными данными","PageObjectByAntonZimaev.tests","2026-01-03","passed","2026-01-03","","test_login_allure","",""
"","1174","Авторизация с корректными учетными данными","PageObjectByAntonZimaev.tests","2026-01-03","passed","2026-01-03","","test_login_allure","",""
